地名名稱,漢語拼音,通用拼音,地名別稱,所屬縣市,所屬鄉鎮市區,所屬村里,地名意義,地名年代時間(起),地名年代時間(迄),地名類型,語言別,命名族群,相關位置與面積描述,地名沿革與文獻歷史簡述,地名相關事項訪談內容,普查使用之地圖與文獻,X坐標,Y坐標
東華里,Donghua Village,Donghua Village,,臺北市,北投區,東華里,,民國六十三年～今,,行政區域(含行政編組),,,東至唭哩岸山陵線至榮民總醫院圍牆與永欣里、永明里為界；西至公館路與八仙里為界；南至北淡捷運線與吉利里、立農里為界；北至唭哩岸山軍艦岩與奇岩里為界。,本里於日據時代稱臺北州七星郡北投街唭哩岸，光復後改制稱臺北縣七星區北投鎮立農里，36年1月改稱臺北縣淡水鎮立農里，36年8月改稱陽明山管理局北投區立農里，57年7月1日改稱臺北市北投區立農里，63年12月因行政區調整由原來立農里劃分部分新增里稱臺北市北投區東華里，79年3月12日因行政區調整將永和里、八仙里各一個鄰、永明里5個鄰併入本里，里名不變。,"																																																													","臺北市政府民政局編著 ，『2003臺北區里界說』，臺北市 : 臺北市民政局, 民92。",,
吉利里,Jili Village,Jili Village,,臺北市,北投區,吉利里,,民國六十三年～今,,行政區域(含行政編組),,,東至石牌路一段與致遠二路交界起向北至，石牌捷運站為界與榮光里為鄰；西至吉利街至石牌路一段39巷與尊賢里為界；南至石牌路一段39巷沿實踐街至石牌路一段與吉慶里為鄰；北至石牌路一段捷運站沿西安街至吉利街尾與立農里為鄰。,日據時期稱「臺北州七星郡北投街唭哩岸」。光復改制稱「臺北縣州七星區北投鎮立農里」。36年1月改隸稱「臺北縣淡水區北投鎮立農里」。38年7月14日改隸稱「陽明山管理局北投鎮立農里」。57年7月1日改隸稱「臺北市北投區立農里」。63年12月行政區域劃分新增稱「臺北市北投區吉利里」。,"																																																													","臺北市政府民政局編著 ，『2003臺北區里界說』，臺北市 : 臺北市民政局, 民92。",,
吉慶里,Jiqing Village,Jicing Village,,臺北市,北投區,吉慶里,,民國七十年～今,,行政區域(含行政編組),,,東至致遠二路與吉利里為界；西至雙溪舊河道與洲美里為界；南至石牌路一段與福興里為界；北至實踐街分別與吉利、尊賢、立賢里為界。,本里原屬吉利里，於70年4月1日第3期里行政區域調整時劃出，並與尊賢里部分地區合併成一里，同時命名「吉慶里」。,"																																																													","臺北市政府民政局編著 ，『2003臺北區里界說』，臺北市 : 臺北市民政局, 民92。",,
尊賢里,Zunxian Village,Zunsian Village,,臺北市,北投區,尊賢里,,民國六十年～今,,行政區域(含行政編組),,,東至石牌路一段39巷69號起至87號與吉利里為鄰；西至尊賢街206巷起至312號止與立賢里為界；南至實踐街25號起至51號止與吉慶里為界；北至吉利街114號起至152號止與立農里為界。,本里原屬立農里，於民國60年1月劃分與原福興里部分地區合併而成，同時命名為尊賢里，70年4月調整再將尊賢街單號劃分另立立賢里，將實踐街雙號以南部分劃出成立吉慶里，餘保留為本里。,"																																																													","臺北市政府民政局編著 ，『2003臺北區里界說』，臺北市 : 臺北市民政局, 民92。",,
立賢里,Lixian Village,Lisian Village,,臺北市,北投區,立賢里,,民國七十年～今,,行政區域(含行政編組),,,東至實踐街接尊賢街到吉利街與尊賢里為界；西至承德路七段與洲美里為界；南至實踐街到承德路七段與吉慶里為界；北至吉利街到承德路七段與立農里為界。,本里原為尊賢里的一部分，行政區域屬臺北縣北投鎮，後改隸陽明山管理局管轄，因人口逐漸增加，70年4月1日以尊賢街為界成立一個里。,"																																																													","臺北市政府民政局編著 ，『2003臺北區里界說』，臺北市 : 臺北市民政局, 民92。",,
立農里,Linong Village,Linong Village,,臺北市,北投區,立農里,,光復後～今,,行政區域(含行政編組),,,東至吉利街尾與吉利里為界；西至立農街口與八仙里為界；南至吉利街與立賢、尊賢為界；北至以淡水捷運線與東華里為界。,本里於日據時代稱臺北州七星郡北投街唭哩岸，光復後改制稱臺北縣北投鎮立農里，57年7月1日改稱臺北市北投區立農里，63年12月因行政區調整由原來立農里劃分部分新增區里稱臺北市北投區東華里，79年3月12日因行政區調整將吉利里、尊賢里各一個鄰、立農里5個鄰併入本里，里名不變為臺北市北投區立農里。,"																																																													","臺北市政府民政局編著 ，『2003臺北區里界說』，臺北市 : 臺北市民政局, 民92。",,
奇岩里,Qiyan Village,Ciyan Village,,臺北市,北投區,奇岩里,,民國五十六年～今,,行政區域(含行政編組),,,東與永和里、永欣里、東華里以唭哩岸山為界；西與溫泉里、清江里以丹鳳山與磺港溪為鄰；南與八仙里、清江里以磺港溪為界；北與林泉里以丹鳳山為界。,本里在光復後稱為「臺北縣七星區北投鎮清江里」，36年改為淡水區，38年改隸為「陽明山管理局北投鎮清江里」，於56年自清江里分里為現之「奇岩里」，在57年改隸為「臺北市」迄今。,"																																																													","臺北市政府民政局編著 ，『2003臺北區里界說』，臺北市 : 臺北市民政局, 民92。",,
清江里,Qingjiang Village,Cingjiang Village,,臺北市,北投區,清江里,,民國三十六年～今,,行政區域(含行政編組),,,東至東以磺港溪與溫泉、奇岩里相望；西至西側為中央南路一段與中央里為鄰；南至南邊磺港溪接淡水捷運線與八仙里為界；北至北端清江路接新市街毗臨中央里。,清江里成立於36年，在57年至79年間歷經多次的改併，在79年3月12日臺北市第四期區里行政區域調整時，將中央里第8、9鄰及63年才增設的新市里合併為清江里，92年調整為27鄰。,"																																																													","臺北市政府民政局編著 ，『2003臺北區里界說』，臺北市 : 臺北市民政局, 民92。",,
中央里,Zhongyang Village,Jhongyang Village,,臺北市,北投區,中央里,,民國三十五年～今,,行政區域(含行政編組),,,東至新市街、中央南路一段與清江里為界；西至北淡捷運線接大興街轉大業路與與大同里為界；南至大業路280巷與八仙里為界；北至光明路、磺港路與長安里、大同里為界。,本里成立於35年，70年里行政區域調整時，將中正里第4、13鄰併入本里；79年3月12日區里行政區域調整將部分地區劃歸清江里及大同里，其餘保留為本里，92年鄰調整，將鄰數合併至28鄰。,"																																																													","臺北市政府民政局編著 ，『2003臺北區里界說』，臺北市 : 臺北市民政局, 民92。",,
大同里,Datong Village,Datong Village,,臺北市,北投區,大同里,,民國四十一年～今,,行政區域(含行政編組),,,東至光明路、大興街與中央里為界；西至大業路與豐年里為界；南至大業路與八仙里為界；北至中央北路一段與長安里為界。,本里原名為靖薛里，於41年改名為大同里，55年里鄰調整將大同街以東地區劃出增設長安里，70年則併入中正里部分地區，79年中央北路一段以北、和平路一段（現改為大業路）以東併入長安里，中央北路二段以北、和平路一段（改為大業路）以東併入文化里，原長安里中央北路一段以南、育仁路以西、中央南路二段6巷40弄1之1號以北併入本里。,"																																																													","臺北市政府民政局編著 ，『2003臺北區里界說』，臺北市 : 臺北市民政局, 民92。",,
泉源里,Quanyuan Village,Cyuanyuan Village,,臺北市,北投區,泉源里,,光復後～今,,行政區域(含行政編組),,,東至七星山、紗帽山溪谷與湖山里為界；西至大屯西峰溪谷與大屯、開明兩里為界；南至磺溪與中心、林泉、永和三里為界；北至大屯山與湖田、大屯為界。,日據時期稱臺北州七星郡北投街十八分。光復後稱臺北縣北投鎮泉源里。38年8月改隸陽明山管理局北投鎮泉源里。57年7月改隸臺北市北投區泉源里。,"																																																													","臺北市政府民政局編著 ，『2003臺北區里界說』，臺北市 : 臺北市民政局, 民92。",,
湖山里,Hushan Village,Hushan Village,,臺北市,北投區,湖山里,,民國三十五年～今,,行政區域(含行政編組),,,東至磺溪延至陽明路一、二段與士林區為界；西至紗帽山溪谷與泉源里為界；南至七星山、紗帽山溪谷與泉源里、林泉里、永和里為界；北至中山樓、遊客中心、光復樓後50公尺、雷隱橋以北300公尺與湖田里為界。,"本里日據時代屬臺北州七星郡北投街紗帽山，35年成立本里，並命名「湖山里」;79年3月12日區里行政區域調整，將原湖田里併入本里，里名沿用「湖山里」;又於91年9月1日第5期里行政區域調整時, 原湖田里再度劃出自成一里。","																																																													","臺北市政府民政局編著 ，『2003臺北區里界說』，臺北市 : 臺北市民政局, 民92。",,
湖田里,Hutian Village,Hutian Village,,臺北市,北投區,湖田里,,民國九十一年～今,,行政區域(含行政編組),,,東至東以夢幻湖、七股山、七星山與士林區為界；西至西以大屯山、中正山與泉源里為界；南至南經中山樓、遊客中心、光復樓後50公尺、雷隱橋以北300公尺與湖山里為界；北至北以竹子山、小觀音山、嵩山與臺北縣金山鄉、三芝鄉為界。,本里原已於79年併入湖山里，因幅員遼闊、人口分散，於91年9月1日第5期里行政區域調整時，劃出自成一里，里名則採昔被合併之湖田里舊稱。,"																																																													","臺北市政府民政局編著 ，『2003臺北區里界說』，臺北市 : 臺北市民政局, 民92。",,
八仙里,Baxian Village,Basian Village,,臺北市,北投區,八仙里,,光復後～今,,行政區域(含行政編組),,,東至磺港路、公館路與西安街與清江里、奇岩里、東華里為界；西至大度路、水磨坑溪與一德、關渡里為界；南至以基隆河與士林區為界；北至大業路280巷與中央南路一、二段和中央里為界。,日據時期稱臺北州七星郡北投庄第九保。光復改制稱臺北縣七星區北投鎮八仙里。36年1月改隸稱臺北縣淡水區北投鎮八仙里。38年8月26日改隸稱陽明山管理局北投鎮八仙里。57年7月1日改隸稱臺北市北投區八仙里。,"																																																													","臺北市政府民政局編著 ，『2003臺北區里界說』，臺北市 : 臺北市民政局, 民92。",,
豐年里,Fengnian Village,Fongnian Village,,臺北市,北投區,豐年里,,民國六十三年～今,,行政區域(含行政編組),,,東至東鄰大業路與大同里為界；西至西接新興路與桃源里為界；南至南面水磨坑溪與八仙里為界；北至北界中央北路二段與文化里為界。,日據時期稱「臺北縣七星郡北投街第五條」，光復後改制隸屬「臺北縣七星區北投鎮稻香里」，36年元月改隸「臺北縣淡水區北投鎮稻香里」，38年8月26日改隸稱「陽明山管理局北投鎮稻香里」，57年7月1日改制為「臺北市北投區稻香里」，63年12月由稻香里劃出稱為「臺北市北投區豐年里」。,"																																																													","臺北市政府民政局編著 ，『2003臺北區里界說』，臺北市 : 臺北市民政局, 民92。",,
稻香里,Daoxiang Village,Daosiang Village,,臺北市,北投區,稻香里,,光復後～今,,行政區域(含行政編組),,,東至以政戰學校圍牆與文化里為界；西至以崗山路、新興路與桃源里為界；南至以中央北路二段與豐年里為界；北至以小坪頂與淡水鎮為界。,本里日據時期稱「臺北州七星郡北投街嗄嘮別」，光復後改制稱「臺北縣七星區北投鎮稻香里」，38年8月26日改隸稱「陽明山管理局北投鎮稻香里」。57年7月1日臺北市里鄰整編將原稻香里部分劃出另為文化、豐年二里。,"																																																													","臺北市政府民政局編著 ，『2003臺北區里界說』，臺北市 : 臺北市民政局, 民92。",,
桃源里,Taoyuan Village,Taoyuan Village,,臺北市,北投區,桃源里,,民國三十八年～今,,行政區域(含行政編組),,,東至崗山路和新興路與稻香里為界；西至中央北路三段276巷與一德里為界；南至中央北路三段1巷與豐年里為界；北至以小坪頂與淡水鎮為界。,本里於日據時期與現今智仁、文化、豐年、稻香、一德、關渡等六里合稱「嗄嘮別」其名為凱達格蘭平埔族社名，38年7月由「中和里」改名為「桃源里」迄今。,"																																																													","臺北市政府民政局編著 ，『2003臺北區里界說』，臺北市 : 臺北市民政局, 民92。",,
一德里,Yide Village,Yide Village,,臺北市,北投區,一德里,,民國三十八年～今,,行政區域(含行政編組),,,東至鄰桃源里以中央北路三、四段為界；西至以臺北縣與淡水鎮為界；南至水磨坑溪與關渡里及八仙里為鄰；北至大屯山稜線與臺北縣淡水鎮為界。,日據時代稱臺北州七星郡北投庄字嘎嘮別街，35年改隸稱臺北縣七星區北投鎮，36年1月併入淡水區，改稱臺北縣淡水區北投鎮，依據臺北縣誌記載，本里係日據時期第三保地區，初取吉祥名為三和里，38年核訂為一德里，稱陽明山管理局北投鎮一德里，57年1月改稱臺北市北投區一德里。,"																																																													","臺北市政府民政局編著 ，『2003臺北區里界說』，臺北市 : 臺北市民政局, 民92。",,
關渡里,Guandu Village,Guandu Village,,臺北市,北投區,關渡里,,民國三十八年～今,,行政區域(含行政編組),,,東至水磨坑溪與八仙里為界；西至中央北路四段601巷與淡水鎮福德里相臨；南至淡水河中心線與臺北縣八里鄉、五股鄉為界；北至大度路三段與一德里為界。,日據時代有江頭之稱，隸屬臺北州七星郡嘎嘮別字甘豆；成立屬臺北州北投街嘎嘮別；38年國民政府在大陸政、經情勢緊急，被迫遷臺，38年8月26日陽明山(草山)管理局成立，直接受臺灣省政府監督，辦理委辦事項及督導區內地方自治事項，並將原隸屬臺北縣士林、北投兩鎮為其管轄區域，本里改稱陽明山管理局北投鎮關渡里，56年7月1日臺北市改制院轄市，稱為臺北市北投區關渡里迄今。,"																																																													","臺北市政府民政局編著 ，『2003臺北區里界說』，臺北市 : 臺北市民政局, 民92。",,
長安里,Chang-an Village,Chang-an Village,,臺北市,北投區,長安里,,民國五十五年～今,,行政區域(含行政編組),,,東至溫泉路與溫泉里為界；西至中央北路一段與大同里為界；南至光明路與中央里為界；北至大業路與中心里、中庸里為界。,本里原屬大同里，於55年4月由該里劃出自成一里。70年里行政區域調整將本里第7鄰劃歸中庸里，同時併入中正里第1、2鄰；79年3月12日區里行政區域調整復將第11鄰至第16鄰劃歸大同里，另將原光明里及大同里第1鄰至第4鄰及第22鄰併入本里，里名保留為長安里。,"																																																													","臺北市政府民政局編著 ，『2003臺北區里界說』，臺北市 : 臺北市民政局, 民92。",,
溫泉里,Wenquan Village,Wuncyuan Village,,臺北市,北投區,溫泉里,,民國四十三年～今,,行政區域(含行政編組),,,東至丹鳳山與奇岩里為界；西至光明路與長安里為界；南至公館路與清江里為界；北至光明路及溫泉路與林泉里為界。,本里，行政區域屬臺北縣北投鎮，後改隸屬陽明山管理局管轄，因人口逐漸增加於43年以溫泉路為界另劃分出成立一個里；溫泉路以南為溫泉里，北為光明里（即現在之長安里），民國92年里鄰整編油由28鄰改為23鄰。,"																																																													","臺北市政府民政局編著 ，『2003臺北區里界說』，臺北市 : 臺北市民政局, 民92。",,
林泉里,Linquan Village,Lincyuan Village,,臺北市,北投區,林泉里,,民國六十三年～今,,行政區域(含行政編組),,,東至磺溪、烏尖連山與湖山里、永和里為界；西至泉源路接新民路轉中山路與中心里為界；南至丹鳳山與奇岩里、溫泉里為界；北至石壇路（現為泉源路）與泉源里為界。,本里原屬中心里，63年12月里行政區域調整時，劃分新增本里，命名「林泉里」。,"																																																													","臺北市政府民政局編著 ，『2003臺北區里界說』，臺北市 : 臺北市民政局, 民92。",,
中心里,Zhongxin Village,Jhongsin Village,,臺北市,北投區,中心里,,光復後～今,,行政區域(含行政編組),,,東至泉源路與林泉里及泉源里為界；西至光明路與長安里及無名溪與中庸里為界；南至磺港溪與長安里為界；北至中和街接復興公園北側與開明里為界。,本里於34年光復後，改為臺北縣七星區北投鎮中心里。38年7月14日，改為陽明山管理局北投鎮中心里。57年7月1日，改為臺北市北投區中心里。,"																																																													","臺北市政府民政局編著 ，『2003臺北區里界說』，臺北市 : 臺北市民政局, 民92。",,
中庸里,Zhongyong Village,Jhongyong Village,,臺北市,北投區,中庸里,,民國六十三年～今,,行政區域(含行政編組),,,東至無名溪與中心里相連；西至水磨坑溪與文化、智仁兩里為界；南至大業路與長安里為界；北至中和街與中和、開明兩里為界。,本里原屬中和里，民國63年12月里調整時劃分增設本里，同時命名中庸里。,"																																																													","臺北市政府民政局編著 ，『2003臺北區里界說』，臺北市 : 臺北市民政局, 民92。",,
開明里,Kaiming Village,Kaiming Village,,臺北市,北投區,開明里,,民國五十六年～今,,行政區域(含行政編組),,,東至西園街、珠海路與大屯里、泉源里為界；西至復興三、四路與大屯里、中和里為界；南至無名溪、中和街與中心里、中庸里為界；北至復興三路、大屯山莊後側與大屯里為界。,本里在日據時代稱「臺北州七星郡北投街山腳」。光復後改制稱「臺北縣七星區北投鎮大屯里」。36年改隸稱「臺北縣淡水北投鎮大屯里」。38年改隸稱「陽明山管理局北投鎮大屯里」，至56年人口遽增，再由大屯里劃分為開明里。57年改隸稱「臺北市北投區開明里」。,,"臺北市政府民政局編著 ，『2003臺北區里界說』，臺北市 : 臺北市民政局, 民92。",,
中和里,Jhonghe Village,Jhonghe Village,,臺北市,北投區,中和里,,民國五十七年～今,,行政區域(含行政編組),,,東至復興四路與開明里為界；西至中和街、中和街錫安巷與秀山里為界；南至水磨坑溪與智仁里為界；北至復興3路61巷及復興三路部分與大屯里為界。,本里原屬大屯里，成立於57年自成一里同時命名為中和里，63年12月劃編增設中庸里、秀山里，餘保留本里。91年9月1日第五期里區域調整里劃分為中和里及大屯里兩里，本里鄰數原為24鄰調整後為17鄰，92年鄰調整為19鄰。,"																																																													","臺北市政府民政局編著 ，『2003臺北區里界說』，臺北市 : 臺北市民政局, 民92。",,
大屯里,Datun Village,Datun Village,,臺北市,北投區,大屯里,,,,行政區域(含行政編組),,,東至與泉源里山溝緣接，以復興3路和開明里為界；西至大屯山西邊，與秀山里為界；南至復興三路61巷與中和里為界；北至大屯山西側稜線，和臺北縣淡水鎮興福寮為界。,,"																																																													","臺北市政府民政局編著 ，『2003臺北區里界說』，臺北市 : 臺北市民政局, 民92。",,
智仁里,Zhiren Village,Jhihren Village,,臺北市,北投區,智仁里,,民國六十三年～今,,行政區域(含行政編組),,,東至東鄰中和街及水磨坑溪與中和里、中庸里為界；西至貴子坑溪與稻香里相隔；南至政治作戰學校與文化里毗鄰；北至中和街與秀山里為界,民國63年12月1日成立，係自文化里劃分增設本里。編制人口適中，有逐漸增加趨勢。本里因處市郊（興夷屯山），且靠近貴子坑溪，為愛好自然，踏青之好住處。,"																																																													","臺北市政府民政局編著 ，『2003臺北區里界說』，臺北市 : 臺北市民政局, 民92。",,
秀山里,Xiushan Village,Sioushan Village,,臺北市,北投區,秀山里,,民國六十三年～今,,行政區域(含行政編組),,,東至中和街錫安巷與中和里為界；西至秀山路貴子坑溪與稻香里為界；南至中和街與智仁里、中和里為界；北至大屯山與臺北縣淡水鎮毗鄰。,本里原屬中和里，63年12月由該里劃出13鄰16鄰，與稻香里第12鄰合併而成一里，同時命名秀山里。,"																																																													","臺北市政府民政局編著 ，『2003臺北區里界說』，臺北市 : 臺北市民政局, 民92。",,
文化里,Wenhua Village,Wunhua Village,,臺北市,北投區,文化里,,民國五十七年～今,,行政區域(含行政編組),,,東至以水磨坑溪和永興路與中庸里為界（以文化橋為出口處）；西至以貴子坑溪和稻香路與稻香里為界（以中央北路二段132號與稻香路交叉為出口處）；南至以中央北路一、二段與豐年里為界（以文化三路與中央北路一段十字路口為出口處）；北至以政戰學校北側圍牆和文化三路101號北側國宅邊與智仁里為界（以杏林橋為出口處）。,本里原屬稻香里，57年劃出成立文化里，79年3月12日區里行政區域調整將原大同里第五鄰，位於中央北路二段以北，大業路交叉路口之三角地帶以西併入本里，里名不變。92年1月鄰調整將本里第17鄰不足50戶併入第1鄰，原第16鄰戶數超過200戶以上劃分為第5及14鄰。,"																																																													","臺北市政府民政局編著 ，『2003臺北區里界說』，臺北市 : 臺北市民政局, 民92。",,
松山區,Songshan District,Songshan District,,臺北市,松山區,,松山原名「錫口」，意指河流轉彎之處，周圍有四獸山、姆指山、筆架山等山峰綿亙；山麓有基隆河蜿蜒流過，原屬平埔族遊獵捕魚的勝地。,日治時期～今,,行政區域(含行政編組),,,東邊以三張犁截水圳、玉成橋、松山橋與南港區為界。西邊以復興北路、南路及松山機場西側圍牆與中山區為界。南邊以市民大道四、五段與大安區、信義區為界。北邊以基隆河中心線沿七號水門至機場北邊圍牆與內湖區、中山區為界。,清乾隆時期，漢人移民至此，將此地命名為錫口(以今日饒河街與八德路四段一帶)；嘉慶時期，錫口附近已發展成繁華地區，享有「小蘇州」之譽。日治時期，1920(大正九)年，日本人改錫口為松山，設松山庄，由臺北州七星郡轄管。戰後，設立本區。民國三十五年臺灣光復後，政府重新規劃調整，正式命名為松山區，內轄26個里，民國五十六年本市改制為院轄市時松山區已轄50個里，至民國七十九年區內人口遽增達45萬餘且所轄里數已達98個里，為便於行政管理工作遂行，臺北市各區里重新調整，將鐵路以南部分劃出另成立信義區，鐵路以北部分原屬中山區之民有、民福、松基三里合併為松山區，民國八十三年四月基隆河截彎取直工程，本區原金泰里因河道南移，新河道中心線以北部分劃入中山區，以南部分併入本區莊敬里，本區原舊宗里因河道西移，新河道以東部分劃入內湖區，新河道以西部分併入新東里。,"																																																													",1. 台北市文獻委員會，『台北市地名與路街沿革史』，台北市：台北市文獻委員會。民91。2. 台北市文獻委員會，『台北市發展史（一）』，台北市：台北市文獻委員會。民70。3. 臺北市政府民政局編著 ，『,,
莊敬里,Zhuangjing Village,Jhuangjing Village,,臺北市,松山區,莊敬里,,民國六十三年～今,,行政區域(含行政編組),,,東邊以基隆河河道中心線與內湖區為界；西邊以三民國小圍牆及機場圍牆、基隆河7號水門分別與精忠里及中山區為界；南邊以民權東路五段中心線、民權大橋中心線與富錦里、新益里、新東里為界；北邊以基隆河河道中心線與中山區、內湖區為界。,本里之命名取其『莊敬自強』之意，故命名莊敬里，本里原屬永泰里，於六十三年十二月一日正式區劃為莊敬里。七十九年三月十二日起原莊敬、莊正二里合併為現在之莊敬里。本里位於民生社區東陲，人文薈萃，綠蔭成林，而成為模範社區。,"																																																													","臺北市政府民政局編著 ，『2003臺北區里界說』，臺北市 : 臺北市民政局, 民92。",,
東榮里,Dongrong Village,Dongrong Village,,臺北市,松山區,東榮里,,民國五十六年～今,,行政區域(含行政編組),,,東邊以富錦街429巷、民生東路五段137巷與三民里為界；西邊以光復北路中心線與精忠里為界；南邊以民生東路五段中心線與介壽里為界；北邊以民權東路四段中心線與精忠里為界。,本里原屬東勢里、因民生社區開發人口遽增，於民國五十六年劃編成立，並取「東榮」為里名，蓋取其原里之「東」字，再續「榮」字以兆繁榮。 六十二年本市第一期里行政區域調整時，劃出部分地區另成立東昌、介壽、精忠等三里，其餘保留為東榮里，七十九年行政區里調整，將原本56鄰調整為現在之33鄰。,"																																																													","臺北市政府民政局編著 ，『2003臺北區里界說』，臺北市 : 臺北市民政局, 民93。",,
三民里,Sanmin Village,Sanmin Village,,臺北市,松山區,三民里,,民國六十三年～今,,行政區域(含行政編組),,,東邊以東至三民路中心線與富泰里、富錦里為界；西邊以西至民生東路138巷、137巷及富錦街429巷中心線分別與介壽里、東榮里為界；南至延壽街中心線與自強里為界；北至民權東路四段中心線與精忠里為界。,本里原屬松山區新聚里之一部分，近來由於工商業發達，高樓大廈林立，人口激增，在六十三年行政區域重新調整時，本里始由新聚里劃出而新設為里，因東界三民路故命名為三民里。,"																																																													","臺北市政府民政局編著 ，『2003臺北區里界說』，臺北市 : 臺北市民政局, 民94。",,
新益里,Xinyi Village,Sinyi Village,,臺北市,松山區,新益里,,民國七十年～今,,行政區域(含行政編組),,,東邊以三民公園及塔悠路與新東里為界；西邊以新東街中心線與富錦里為鄰；南邊沿民生國中圍牆轉民生東路與新東里為界；北至民權東路五段（民權大橋中心線）與莊敬里為界。,本里係於七十年四月一日第三期里行政區域調整時，將原松山區新東里第25鄰至35鄰、38鄰、39鄰、41鄰、45鄰及松山區莊敬里第1鄰至第7鄰、51鄰至54鄰合編而成命名為新益里，表示源於新東里而增益之。七十九年三月十二日區里行政區調整將原屬舊宗里撫遠街以西共12個鄰併入本里，目前本里共18鄰。,"																																																													","臺北市政府民政局編著 ，『2003臺北區里界說』，臺北市 : 臺北市民政局, 民95。",,
富錦里,Fujin Village,Fujin Village,,臺北市,松山區,富錦里,,民國六十三年～今,,行政區域(含行政編組),,,東邊以新東街中心線與新益里為界；西邊以三民路中心線與三民里為界；南邊以民生東路五段中心線與富泰里為界；北至民權東路五段中心線與精忠、莊敬里為界。,本里於63年12月1日第二期里行政區域調整時，自新聚里劃出成立，因富錦街貫穿其中，故名「富錦里」。70年4月1日第三期里行政區域調整，將民生東路以南部分劃出，成立「富泰里」，餘保留原里迄今。,"																																																													","臺北市政府民政局編著 ，『2003臺北區里界說』，臺北市 : 臺北市民政局, 民95。",,
新東里,Xindong Village,Sindong Village,,臺北市,松山區,新東里,,民國六十四年～今,,行政區域(含行政編組),,,東至基隆河中心線與內湖區為界；西至新東街中心線與富錦里、富泰里為界及塔悠路中心線與鵬程、安平里為界；南至延壽街中心線與鵬程里為界及麥帥橋中心線與慈祐里為界；北至民生國中圍牆與新益里為界及民權大橋中心線與莊敬里為界。,本里原屬松山區新聚里，近來發展快速，地方繁榮，人口劇增，64年元月自新聚里劃分出而成立，因位於新東街之東，遂命名為新東里。70年4月將三民公園以北轄之15鄰劃編入新益里。79年3月12日行政區域調整，仍保留里況，僅將全里由原38鄰調整為17鄰；83年舊宗里因截灣取直，將撫遠街以東部分，劃歸入成為本里的18、19鄰。本里位於民生社區東方，鄰基隆河畔，90年11月間，因道路拓寬，遂將撫遠街改為塔悠路。,"																																																													","臺北市政府民政局編著 ，『2003臺北區里界說』，臺北市 : 臺北市民政局, 民95。",,
富泰里,Futai Village,Futai Village,,臺北市,松山區,富泰里,,民國七十年～今,,行政區域(含行政編組),,,東至新東街中心線與新東里為界；西至三民路中心線與三民里為界；南至延壽街中心線與自強里為界；北至民生東路五段中心線與富錦里為界。,本里原屬富錦里，70年4月1日第三期里行政區域調整時，因該里人口激增，乃將民生東路以南劃出成立本里，並命名為「富泰里」，意為源自富錦里而康泰相如。,"																																																													","臺北市政府民政局編著 ，『2003臺北區里界說』，臺北市 : 臺北市民政局, 民95。",,
介壽里,Jieshou Village,Jieshou Village,,臺北市,松山區,介壽里,,民國六十二年～今,,行政區域(含行政編組),,,東至民生東路五段138巷中心線與三民里為界；西至光復北路中心線與東昌里為界；南至延壽街中心線與龍田里為界；北至民生東路五段中心線與東榮里為界。,介壽里原為東榮里之一部分，由於都市發展人口增加，於民國62年擴編為里，為民生社區所轄十個里之一。,"																																																													","臺北市政府民政局編著 ，『2003臺北區里界說』，臺北市 : 臺北市民政局, 民95。",,
精忠里,Jingzhong Village,Jingjhong Village,,臺北市,松山區,精忠里,,民國六十二年～今,,行政區域(含行政編組),,,東至松山機場東側圍牆與莊敬里民權東路四段與東榮、三民里、光復北路及民生東路四段80巷中心線與東榮、東昌等里為界；西至敦化北路中心線與民有、民福、松基里及松山機場西南側圍牆與民福里沿松山機場西側圍牆與中山區為界；南至敦化北路199巷中心線與中華里為界；北至松山機場北側圍牆與莊敬里及中山區為界。,本里原屬東榮里之一部分，於62年4月1日劃出成立新里，本里所轄主體為中央社區，且本里里民大多數為中央公教及退休人員，公務人員本當效忠為懷，以精忠報國為職志，故本里命名為「精忠里」。 79年3月12日區里行政區域調整後，原東昌里第八鄰併入本里。,"																																																													","臺北市政府民政局編著 ，『2003臺北區里界說』，臺北市 : 臺北市民政局, 民95。",,
東光里,Dongguang Village,Dongguang Village,,臺北市,松山區,東光里,,民國六十二年～今,,行政區域(含行政編組),,,東至三民路中心線與安平里為界；西至光復北路中心線與東勢里為界；南至南京東路五段中心線與吉祥里為界；北至健康路中心線與龍田里及自強里為界。,本里原為東勢里之一部分，62年5月1日行政區調整劃為東光、武昌兩個里，同年7月15日正式成立。79年3月12日本市區里行政區域調整合併東光、武昌兩里為東光里。,"																																																													","臺北市政府民政局編著 ，『2003臺北區里界說』，臺北市 : 臺北市民政局, 民95。",,
龍田里,Longtian Village,Longtian Village,,臺北市,松山區,龍田里,,民國七十年～今,,行政區域(含行政編組),,,東至延壽街330巷中心線與自強里為界；西至健康路15巷中心線與東昌里為界；南至健康路中心線與東勢里、東光里為界；北至延壽街中心線及光復北路230巷中心線、民生東路四段80巷15弄中心線與介壽里、東昌里為界。,本里於70年4月1日第三期里行政區域調整由龍城里劃分成立，命名為「龍田里」。係因由龍城里劃出，故前字為表示不忘源本，下字取田字，合為龍田，即取易經龍潛在田之義。 79年3月12日區里行政區域調整為龍城里併入本里，仍稱為龍田里。,"																																																													","臺北市政府民政局編著 ，『2003臺北區里界說』，臺北市 : 臺北市民政局, 民95。",,
